Implementation;Threads;Time
Simple;1;2.7963782
Reduced;1;2.1616092
Simple;2;1.6806065
Reduced;2;1.4880096
Simple;4;1.4303543
Reduced;4;1.2276123
Simple;8;1.996457
Reduced;8;1.8888059
