Implementation;Threads;Time
Simple;1;2.7922398
Reduced;1;2.1932158
Simple;2;1.6582303
Reduced;2;1.8403472
Simple;4;1.4958285
Reduced;4;1.5772732
Simple;8;2.0535018
Reduced;8;2.213734
