Implementation;Threads;Time
Simple;1;2.802552
Reduced;1;2.2059973
Simple;2;1.752378
Reduced;2;1.4809192
Simple;4;1.2716712
Reduced;4;1.2457074
Simple;8;1.8816057
Reduced;8;2.0777871
