Implementation;Threads;Time
Simple;1;2.7750434
Reduced;1;2.1611685
Simple;2;1.6915134
Reduced;2;1.3843306
Simple;4;1.2464685
Reduced;4;1.1441866
Simple;8;2.0756003
Reduced;8;2.018897
