Implementation;Threads;Time
Simple;1;2.8447608
Reduced;1;2.2322504
Simple;2;2.8879447
Reduced;2;1.9886523
Simple;4;3.163636
Reduced;4;1.3843526
Simple;8;3.5582891
Reduced;8;2.4319602
