Implementation;Threads;Time
Simple;1;2.8134548
Reduced;1;2.1730285
Simple;2;1.6998674
Reduced;2;1.3823917
Simple;4;1.3368666
Reduced;4;1.2380679
Simple;8;1.7207323
Reduced;8;1.883853
