Implementation;Threads;Time
Simple;1;2.7367608
Reduced;1;2.2021282
Simple;2;2.2594395
Reduced;2;1.3567907
Simple;4;1.7919465
Reduced;4;1.1978662
Simple;8;1.9752174
Reduced;8;1.6502376
