Implementation;Threads;Time
Simple;1;2.748365
Reduced;1;2.204434
Simple;2;1.6596556
Reduced;2;1.8186011
Simple;4;1.2851005
Reduced;4;1.4593572
Simple;8;2.1311204
Reduced;8;2.1129238
